img_a,img_b,coord_ax,coord_ay,coord_bx,coord_by,px_ax,px_ay,px_bx,px_by,dpx_x,dpx_y,dcoord_x,dcoord_y
frame_149_t_5876.328144_x_227.282317_y_140.818221_z_0.120763.jpg,frame_150_t_5876.396128_x_226.295686_y_138.285308_z_0.120091.jpg,227.282317,140.818221,226.295686,138.285308,377.0,83.0,403.0,25.0,-26.0,58.0,-0.9866310000000169,-2.5329130000000077
frame_149_t_5876.328144_x_227.282317_y_140.818221_z_0.120763.jpg,frame_150_t_5876.396128_x_226.295686_y_138.285308_z_0.120091.jpg,227.282317,140.818221,226.295686,138.285308,387.0,140.0,409.0,83.0,-22.0,57.0,-0.9866310000000169,-2.5329130000000077
frame_149_t_5876.328144_x_227.282317_y_140.818221_z_0.120763.jpg,frame_150_t_5876.396128_x_226.295686_y_138.285308_z_0.120091.jpg,227.282317,140.818221,226.295686,138.285308,387.0,86.0,416.0,32.0,-29.0,54.0,-0.9866310000000169,-2.5329130000000077
frame_149_t_5876.328144_x_227.282317_y_140.818221_z_0.120763.jpg,frame_150_t_5876.396128_x_226.295686_y_138.285308_z_0.120091.jpg,227.282317,140.818221,226.295686,138.285308,425.0,112.0,438.0,54.0,-13.0,58.0,-0.9866310000000169,-2.5329130000000077
frame_165_t_5877.328051_x_195.889308_y_121.507353_z_0.108649.jpg,frame_166_t_5877.396054_x_193.219771_y_122.023511_z_0.109275.jpg,195.889308,121.507353,193.219771,122.023511,307.0,124.0,374.0,134.0,-67.0,-10.0,-2.669536999999991,0.5161580000000043
frame_165_t_5877.328051_x_195.889308_y_121.507353_z_0.108649.jpg,frame_166_t_5877.396054_x_193.219771_y_122.023511_z_0.109275.jpg,195.889308,121.507353,193.219771,122.023511,304.0,96.0,361.0,96.0,-57.0,0.0,-2.669536999999991,0.5161580000000043
frame_165_t_5877.328051_x_195.889308_y_121.507353_z_0.108649.jpg,frame_166_t_5877.396054_x_193.219771_y_122.023511_z_0.109275.jpg,195.889308,121.507353,193.219771,122.023511,342.0,83.0,396.0,89.0,-54.0,-6.0,-2.669536999999991,0.5161580000000043
frame_165_t_5877.328051_x_195.889308_y_121.507353_z_0.108649.jpg,frame_166_t_5877.396054_x_193.219771_y_122.023511_z_0.109275.jpg,195.889308,121.507353,193.219771,122.023511,355.0,147.0,409.0,160.0,-54.0,-13.0,-2.669536999999991,0.5161580000000043
frame_170_t_5877.660161_x_183.633004_y_126.318576_z_0.114372.jpg,frame_171_t_5877.727984_x_181.476911_y_127.963434_z_0.116297.jpg,183.633004,126.318576,181.476911,127.963434,227.0,256.0,297.0,294.0,-70.0,-38.0,-2.1560929999999985,1.6448580000000135
frame_170_t_5877.660161_x_183.633004_y_126.318576_z_0.114372.jpg,frame_171_t_5877.727984_x_181.476911_y_127.963434_z_0.116297.jpg,183.633004,126.318576,181.476911,127.963434,220.0,224.0,281.0,262.0,-61.0,-38.0,-2.1560929999999985,1.6448580000000135
frame_170_t_5877.660161_x_183.633004_y_126.318576_z_0.114372.jpg,frame_171_t_5877.727984_x_181.476911_y_127.963434_z_0.116297.jpg,183.633004,126.318576,181.476911,127.963434,214.0,185.0,272.0,224.0,-58.0,-39.0,-2.1560929999999985,1.6448580000000135
frame_170_t_5877.660161_x_183.633004_y_126.318576_z_0.114372.jpg,frame_171_t_5877.727984_x_181.476911_y_127.963434_z_0.116297.jpg,183.633004,126.318576,181.476911,127.963434,246.0,326.0,307.0,371.0,-61.0,-45.0,-2.1560929999999985,1.6448580000000135
frame_170_t_5877.660161_x_183.633004_y_126.318576_z_0.114372.jpg,frame_171_t_5877.727984_x_181.476911_y_127.963434_z_0.116297.jpg,183.633004,126.318576,181.476911,127.963434,265.0,288.0,323.0,339.0,-58.0,-51.0,-2.1560929999999985,1.6448580000000135
frame_182_t_5878.442600_x_171.425566_y_153.479281_z_0.142317.jpg,frame_183_t_5878.493280_x_171.735493_y_155.482357_z_0.144153.jpg,171.425566,153.479281,171.735493,155.482357,342.0,140.0,332.0,208.0,10.0,-68.0,0.30992699999998763,2.0030760000000214
frame_182_t_5878.442600_x_171.425566_y_153.479281_z_0.142317.jpg,frame_183_t_5878.493280_x_171.735493_y_155.482357_z_0.144153.jpg,171.425566,153.479281,171.735493,155.482357,288.0,147.0,278.0,220.0,10.0,-73.0,0.30992699999998763,2.0030760000000214
frame_182_t_5878.442600_x_171.425566_y_153.479281_z_0.142317.jpg,frame_183_t_5878.493280_x_171.735493_y_155.482357_z_0.144153.jpg,171.425566,153.479281,171.735493,155.482357,316.0,115.0,316.0,185.0,0.0,-70.0,0.30992699999998763,2.0030760000000214
frame_186_t_5878.660053_x_173.754979_y_161.824953_z_0.147541.jpg,frame_187_t_5878.728078_x_174.984674_y_164.251127_z_0.148755.jpg,173.754979,161.824953,174.984674,164.251127,262.0,156.0,220.0,220.0,42.0,-64.0,1.2296950000000209,2.426174000000003
frame_186_t_5878.660053_x_173.754979_y_161.824953_z_0.147541.jpg,frame_187_t_5878.728078_x_174.984674_y_164.251127_z_0.148755.jpg,173.754979,161.824953,174.984674,164.251127,281.0,166.0,262.0,236.0,19.0,-70.0,1.2296950000000209,2.426174000000003
frame_186_t_5878.660053_x_173.754979_y_161.824953_z_0.147541.jpg,frame_187_t_5878.728078_x_174.984674_y_164.251127_z_0.148755.jpg,173.754979,161.824953,174.984674,164.251127,300.0,195.0,272.0,256.0,28.0,-61.0,1.2296950000000209,2.426174000000003
frame_186_t_5878.660053_x_173.754979_y_161.824953_z_0.147541.jpg,frame_187_t_5878.728078_x_174.984674_y_164.251127_z_0.148755.jpg,173.754979,161.824953,174.984674,164.251127,297.0,256.0,272.0,326.0,25.0,-70.0,1.2296950000000209,2.426174000000003
